settlement_id,psp_reference,settlement_date,settlement_timestamp,gross_amount,fees,net_amount,transaction_type,source_reference
SETT-2024-001,PSP-CC-20240115-001,2024-01-17,2024-01-17 08:00:00,125.50,3.76,121.74,sale,ORD-2024-001
SETT-2024-002,PSP-CC-20240115-002,2024-01-17,2024-01-17 08:00:00,250.00,7.50,242.50,sale,ORD-2024-003
SETT-2024-003,PSP-CC-20240116-001,2024-01-18,2024-01-18 08:00:00,310.25,9.31,300.94,sale,ORD-2024-005
SETT-2024-004,PSP-DB-20240116-001,2024-01-18,2024-01-18 08:00:00,67.80,1.36,66.44,sale,ORD-2024-006
SETT-2024-005,PSP-CC-20240117-001,2024-01-19,2024-01-19 08:00:00,199.99,6.00,193.99,sale,ORD-2024-007
SETT-2024-006,PSP-CC-20240117-002,2024-01-19,2024-01-19 08:00:00,420.50,12.62,407.88,sale,ORD-2024-008
SETT-2024-007,PSP-DB-20240118-001,2024-01-20,2024-01-20 08:00:00,78.25,1.57,76.68,sale,ORD-2024-009
SETT-2024-008,PSP-CC-20240118-001,2024-01-20,2024-01-20 08:00:00,155.00,4.65,150.35,sale,ORD-2024-010
SETT-2024-009,PSP-REF-20240116-001,2024-01-18,2024-01-18 08:00:00,-89.99,-2.70,-87.29,refund,REF-2024-001
SETT-2024-010,PSP-REF-20240117-001,2024-01-19,2024-01-19 08:00:00,-45.75,-1.37,-44.38,refund,REF-2024-002
SETT-2024-011,PSP-REF-20240118-001,2024-01-20,2024-01-20 08:00:00,-67.80,-1.36,-66.44,refund,REF-2024-003
SETT-2024-012,PSP-CC-20240115-003,2024-01-17,2024-01-17 08:00:00,89.00,2.67,86.33,sale,ORD-2024-002
SETT-2024-013,PSP-UNKNOWN-001,2024-01-19,2024-01-19 08:00:00,500.00,15.00,485.00,sale,ORD-9999-NOTFOUND
